,voltage,Cd_50_ppb_0,Cd_50_ppb_1,Cd_50_ppb_2,Cd_50_ppb_3,Cd_125_ppb_4,Cd_125_ppb_5,Cd_125_ppb_6,Cd_125_ppb_7,Cd_250_ppb_8,Cd_250_ppb_9,Cd_250_ppb_10,Cd_250_ppb_11,Cd_375_ppb_12,Cd_375_ppb_13,Cd_375_ppb_14,Cd_375_ppb_15,Cd_500_ppb_16,Cd_500_ppb_17,Cd_500_ppb_18,Cd_500_ppb_19,Cd_625_ppb_20,Cd_625_ppb_21,Cd_625_ppb_22,Cd_625_ppb_23,Cd_750_ppb_24,Cd_750_ppb_25,Cd_750_ppb_26,Cd_750_ppb_27,Cd_825_ppb_28,Cd_825_ppb_29,Cd_825_ppb_30,Cd_825_ppb_31,Cd_1000_ppb_32,Cd_1000_ppb_33,Cd_1000_ppb_34,Cd_1000_ppb_35
10,0.96,-0.434263,-0.558338,-0.434263,-0.558338,-0.620375,-0.74445,-0.682413,-0.806488,-0.806488,-0.930563,-0.930563,-0.806488,-1.054638,-1.178713,-1.054638,-1.302788,-1.24075,-1.4889,-1.364825,-1.550938,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.23335,-1.9852,-2.171313,-2.357425,-2.72965,-2.295388,-2.605575,-3.101875,-3.412063,-2.915763,-3.350025
11,0.956,-0.434263,-0.558338,-0.434263,-0.4963,-0.620375,-0.682413,-0.682413,-0.806488,-0.806488,-0.930563,-0.868525,-0.806488,-0.9926,-1.178713,-1.116675,-1.24075,-1.24075,-1.4889,-1.426863,-1.550938,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.171313,-2.047238,-2.171313,-2.295388,-2.72965,-2.295388,-2.667613,-2.9778,-3.4741,-2.853725,-3.287988
12,0.952,-0.434263,-0.558338,-0.434263,-0.558338,-0.620375,-0.74445,-0.682413,-0.806488,-0.806488,-0.930563,-0.930563,-0.806488,-1.054638,-1.178713,-1.116675,-1.302788,-1.302788,-1.4889,-1.364825,-1.550938,-1.612975,-1.799088,-1.675013,-1.861125,-2.047238,-2.23335,-1.9852,-2.23335,-2.295388,-2.667613,-2.295388,-2.605575,-3.039838,-3.412063,-2.853725,-3.22595
13,0.948,-0.434263,-0.558338,-0.434263,-0.4963,-0.620375,-0.74445,-0.620375,-0.74445,-0.806488,-0.930563,-0.868525,-0.74445,-0.9926,-1.116675,-1.116675,-1.24075,-1.302788,-1.426863,-1.364825,-1.4889,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.23335,-1.9852,-2.23335,-2.23335,-2.667613,-2.295388,-2.543538,-3.039838,-3.412063,-2.915763,-3.350025
14,0.944,-0.4963,-0.4963,-0.434263,-0.4963,-0.620375,-0.74445,-0.682413,-0.806488,-0.868525,-0.930563,-0.868525,-0.806488,-1.054638,-1.178713,-1.116675,-1.24075,-1.24075,-1.426863,-1.302788,-1.4889,-1.675013,-1.861125,-1.675013,-1.861125,-1.9852,-2.171313,-1.923163,-2.23335,-2.23335,-2.667613,-2.23335,-2.543538,-2.9778,-3.412063,-2.915763,-3.287988
15,0.94,-0.434263,-0.558338,-0.372225,-0.4963,-0.620375,-0.74445,-0.682413,-0.806488,-0.868525,-0.930563,-0.868525,-0.806488,-0.9926,-1.178713,-1.116675,-1.24075,-1.302788,-1.426863,-1.302788,-1.4889,-1.675013,-1.861125,-1.612975,-1.923163,-1.9852,-2.171313,-1.9852,-2.23335,-2.23335,-2.667613,-2.23335,-2.605575,-3.039838,-3.412063,-2.853725,-3.287988
16,0.9359999999999999,-0.434263,-0.558338,-0.372225,-0.4963,-0.620375,-0.682413,-0.620375,-0.806488,-0.806488,-0.930563,-0.868525,-0.806488,-0.9926,-1.178713,-1.054638,-1.302788,-1.24075,-1.426863,-1.364825,-1.550938,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.23335,-1.9852,-2.23335,-2.295388,-2.667613,-2.23335,-2.605575,-2.9778,-3.412063,-2.915763,-3.350025
17,0.9319999999999999,-0.434263,-0.558338,-0.372225,-0.4963,-0.558338,-0.74445,-0.682413,-0.806488,-0.868525,-0.930563,-0.868525,-0.806488,-1.054638,-1.178713,-1.054638,-1.178713,-1.24075,-1.4889,-1.364825,-1.550938,-1.612975,-1.923163,-1.675013,-1.861125,-1.923163,-2.23335,-1.9852,-2.171313,-2.23335,-2.72965,-2.23335,-2.543538,-2.9778,-3.4741,-2.853725,-3.287988
18,0.9279999999999999,-0.434263,-0.4963,-0.434263,-0.4963,-0.620375,-0.682413,-0.682413,-0.806488,-0.806488,-0.930563,-0.868525,-0.806488,-0.9926,-1.178713,-1.054638,-1.24075,-1.24075,-1.4889,-1.364825,-1.550938,-1.675013,-1.799088,-1.675013,-1.861125,-2.047238,-2.171313,-1.9852,-2.23335,-2.295388,-2.72965,-2.23335,-2.543538,-2.9778,-3.412063,-2.853725,-3.287988
19,0.9239999999999999,-0.434263,-0.4963,-0.434263,-0.4963,-0.620375,-0.682413,-0.682413,-0.806488,-0.806488,-0.930563,-0.868525,-0.806488,-0.9926,-1.116675,-1.116675,-1.302788,-1.24075,-1.426863,-1.426863,-1.550938,-1.612975,-1.861125,-1.612975,-1.861125,-1.9852,-2.23335,-1.9852,-2.295388,-2.295388,-2.72965,-2.23335,-2.605575,-3.039838,-3.412063,-2.853725,-3.350025
20,0.9199999999999999,-0.434263,-0.558338,-0.434263,-0.558338,-0.682413,-0.682413,-0.682413,-0.806488,-0.806488,-0.930563,-0.930563,-0.806488,-0.9926,-1.178713,-1.054638,-1.302788,-1.302788,-1.4889,-1.364825,-1.4889,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.23335,-2.047238,-2.171313,-2.295388,-2.667613,-2.295388,-2.605575,-3.039838,-3.412063,-2.915763,-3.287988
21,0.9159999999999999,-0.434263,-0.558338,-0.434263,-0.558338,-0.682413,-0.74445,-0.682413,-0.806488,-0.868525,-0.930563,-0.868525,-0.806488,-0.9926,-1.178713,-1.116675,-1.24075,-1.24075,-1.426863,-1.364825,-1.550938,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.23335,-1.9852,-2.23335,-2.295388,-2.667613,-2.171313,-2.605575,-3.039838,-3.412063,-2.915763,-3.287988
22,0.9119999999999999,-0.434263,-0.558338,-0.434263,-0.558338,-0.558338,-0.682413,-0.74445,-0.806488,-0.806488,-0.9926,-0.868525,-0.806488,-1.054638,-1.178713,-1.054638,-1.24075,-1.302788,-1.426863,-1.426863,-1.550938,-1.675013,-1.799088,-1.675013,-1.923163,-1.9852,-2.23335,-2.047238,-2.23335,-2.295388,-2.72965,-2.23335,-2.605575,-3.039838,-3.412063,-2.915763,-3.287988
23,0.9079999999999999,-0.434263,-0.558338,-0.434263,-0.4963,-0.620375,-0.74445,-0.682413,-0.806488,-0.806488,-0.930563,-0.930563,-0.806488,-0.9926,-1.24075,-1.116675,-1.24075,-1.302788,-1.426863,-1.426863,-1.550938,-1.612975,-1.861125,-1.675013,-1.861125,-1.9852,-2.23335,-2.109275,-2.295388,-2.295388,-2.667613,-2.23335,-2.543538,-3.039838,-3.4741,-2.915763,-3.350025
24,0.9039999999999999,-0.434263,-0.558338,-0.4963,-0.558338,-0.620375,-0.74445,-0.74445,-0.806488,-0.806488,-0.9926,-0.868525,-0.806488,-0.9926,-1.178713,-1.116675,-1.302788,-1.302788,-1.4889,-1.426863,-1.550938,-1.612975,-1.861125,-1.675013,-1.923163,-1.9852,-2.23335,-2.047238,-2.295388,-2.295388,-2.72965,-2.23335,-2.605575,-3.039838,-3.4741,-2.915763,-3.287988
25,0.8999999999999999,-0.4963,-0.558338,-0.434263,-0.558338,-0.620375,-0.74445,-0.74445,-0.806488,-0.868525,-0.930563,-0.868525,-0.806488,-1.054638,-1.178713,-1.116675,-1.302788,-1.302788,-1.4889,-1.426863,-1.550938,-1.675013,-1.923163,-1.73705,-1.923163,-2.047238,-2.23335,-1.9852,-2.295388,-2.357425,-2.791688,-2.295388,-2.605575,-3.039838,-3.4741,-2.915763,-3.287988
26,0.8959999999999999,-0.4963,-0.558338,-0.434263,-0.558338,-0.620375,-0.74445,-0.74445,-0.868525,-0.868525,-0.9926,-0.868525,-0.868525,-1.054638,-1.178713,-1.116675,-1.302788,-1.24075,-1.4889,-1.364825,-1.550938,-1.675013,-1.861125,-1.675013,-1.923163,-2.047238,-2.23335,-2.047238,-2.295388,-2.295388,-2.667613,-2.23335,-2.605575,-3.039838,-3.536138,-2.9778,-3.350025
27,0.8919999999999999,-0.4963,-0.558338,-0.434263,-0.558338,-0.620375,-0.74445,-0.682413,-0.806488,-0.868525,-0.930563,-0.868525,-0.806488,-1.054638,-1.116675,-1.116675,-1.302788,-1.364825,-1.4889,-1.426863,-1.550938,-1.675013,-1.861125,-1.73705,-1.923163,-2.047238,-2.295388,-2.047238,-2.295388,-2.295388,-2.72965,-2.23335,-2.605575,-3.039838,-3.4741,-2.915763,-3.350025
28,0.8879999999999999,-0.434263,-0.4963,-0.434263,-0.4963,-0.620375,-0.74445,-0.74445,-0.806488,-0.806488,-0.9926,-0.930563,-0.806488,-1.054638,-1.24075,-1.116675,-1.302788,-1.24075,-1.4889,-1.364825,-1.612975,-1.675013,-1.861125,-1.675013,-1.923163,-1.9852,-2.23335,-2.047238,-2.23335,-2.295388,-2.72965,-2.23335,-2.667613,-3.039838,-3.4741,-2.915763,-3.412063
29,0.8839999999999999,-0.4963,-0.620375,-0.434263,-0.4963,-0.620375,-0.74445,-0.74445,-0.868525,-0.868525,-0.9926,-0.930563,-0.868525,-1.054638,-1.178713,-1.116675,-1.302788,-1.302788,-1.4889,-1.364825,-1.550938,-1.675013,-1.861125,-1.675013,-1.923163,-2.047238,-2.295388,-2.109275,-2.295388,-2.295388,-2.791688,-2.295388,-2.605575,-3.039838,-3.4741,-2.915763,-3.412063
