,voltage,SW0_0,SW0_1,SW0_2,SW0_3,SW0_4,SW0_5,SW0_6,SW0_7,SW0_8,SW0_9,SW0_10,SW0_11,SW0_12,SW0_13,SW0_14,SW0_15,SW0_16,SW0_17,SW0_18,SW0_19,SW0_20,SW0_21,SW0_22,SW0_23,SW0_24,SW0_25,SW0_26,SW0_27,SW0_28,SW0_29,SW0_30,SW0_31,SW0_32,SW0_33,SW0_34,SW0_35,SW0_36,SW0_37,SW0_38,SW0_39,SW0_40,SW0_41,SW0_42,SW0_43,SW0_44,SW0_45,SW0_46,SW0_47,SW0_48,SW0_49,SW0_50,SW0_51,SW0_52,SW0_53,SW0_54,SW0_55,SW0_56,SW0_57,SW0_58,SW0_59,SW0_60,SW0_61,SW0_62,SW0_63,SW0_64,SW0_65,SW0_66,SW0_67,SW0_68,SW0_69,SW0_70,SW0_71,SW0_72,SW0_73,SW0_74,SW0_75,SW0_76,SW0_77,SW0_78,SW0_79
808,0.2280000000000011,1.680577,1.012095,1.293232,1.311975,1.311975,0.830917,1.168282,0.843412,2.092912,5.660235,5.966362,0.82467,0.97461,0.855907,1.018342,0.868525,1.054638,0.868525,1.054638,0.74445,0.806488,0.868525,0.9926,0.9926,0.868525,0.806488,1.178713,0.868525,0.9926,0.806488,0.930563,0.868525,1.116675,0.868525,1.178713,0.593512,0.243652,0.34986,0.682413,0.868525,1.92423,0.27489,0.74445,0.806488,0.682413,0.620375,0.620375,0.806488,0.930563,0.868525,0.806488,0.930563,0.620375,0.806488,0.868525,1.054638,0.806488,1.178713,0.806488,0.806488,0.743452,0.92463,1.799088,1.116675,0.9926,3.784288,1.24075,1.178713,0.806488,0.806488,0.9926,0.868525,0.74445,0.9926,0.868525,0.930563,0.868525,0.806488,0.843412,0.930877
809,0.2320000000000011,1.618102,1.012095,1.218262,1.361955,1.361955,0.837165,1.168282,0.843412,2.092912,5.660235,5.960115,0.837165,0.980857,0.862155,1.018342,0.868525,1.054638,0.868525,1.116675,0.806488,0.868525,0.868525,0.868525,0.9926,0.868525,0.806488,1.178713,0.806488,0.9926,0.806488,0.930563,0.930563,1.116675,0.9926,1.178713,0.593512,0.243652,0.34986,0.620375,0.806488,1.936725,0.281137,0.74445,0.868525,0.620375,0.620375,0.682413,0.806488,0.868525,0.868525,0.806488,0.930563,0.558338,0.806488,0.868525,1.054638,0.868525,1.24075,0.806488,0.806488,0.793432,0.912135,1.799088,1.116675,0.9926,3.660213,1.24075,1.178713,0.806488,0.74445,0.9926,0.868525,0.806488,0.9926,0.868525,0.930563,0.868525,0.806488,0.79968,0.980857
810,0.2360000000000011,1.661835,1.02459,1.280737,1.29948,1.29948,0.830917,1.17453,0.837165,2.092912,5.653987,5.953867,0.84966,0.962115,0.862155,1.018342,0.868525,1.054638,0.868525,1.054638,0.74445,0.868525,0.868525,0.930563,0.9926,0.868525,0.806488,1.178713,0.806488,0.9926,0.74445,0.930563,0.868525,1.116675,0.9926,1.178713,0.593512,0.243652,0.34986,0.682413,0.868525,1.92423,0.27489,0.806488,0.806488,0.620375,0.74445,0.620375,0.806488,0.868525,0.868525,0.806488,0.930563,0.620375,0.806488,0.868525,1.054638,0.806488,1.116675,0.806488,0.868525,0.743452,0.887145,1.799088,1.054638,0.930563,3.72225,1.178713,1.116675,0.806488,0.868525,0.9926,0.806488,0.74445,0.930563,0.868525,0.868525,0.806488,0.806488,0.855907,0.955867
811,0.2400000000000011,1.618102,0.9996,1.205767,1.361955,1.361955,0.830917,1.168282,0.843412,2.092912,5.660235,5.953867,0.837165,0.962115,0.862155,1.012095,0.868525,0.9926,0.868525,1.116675,0.74445,0.806488,0.868525,0.9926,0.930563,0.868525,0.806488,1.24075,0.806488,0.9926,0.806488,0.930563,0.868525,1.116675,0.930563,1.178713,0.593512,0.243652,0.343612,0.558338,0.868525,1.936725,0.281137,0.806488,0.806488,0.74445,0.620375,0.620375,0.74445,0.868525,0.868525,0.806488,0.9926,0.558338,0.682413,0.868525,1.054638,0.930563,1.24075,0.74445,0.806488,0.82467,0.918382,1.799088,1.116675,0.930563,3.660213,1.24075,1.054638,0.868525,0.74445,0.9926,0.868525,0.806488,0.930563,0.868525,0.930563,0.868525,0.806488,0.77469,0.980857
812,0.2440000000000011,1.668082,1.037085,1.268242,1.305727,1.305727,0.843412,1.17453,0.837165,2.092912,5.64774,5.94762,0.82467,0.955867,0.84966,1.02459,0.868525,1.054638,0.868525,1.116675,0.74445,0.806488,0.868525,0.930563,0.9926,0.868525,0.806488,1.24075,0.806488,0.9926,0.74445,0.868525,0.868525,1.116675,0.9926,1.178713,0.587265,0.237405,0.34986,0.682413,0.868525,1.911735,0.27489,0.74445,0.806488,0.620375,0.620375,0.682413,0.806488,0.930563,0.868525,0.806488,0.930563,0.558338,0.806488,0.868525,1.054638,0.806488,1.24075,0.806488,0.806488,0.730957,0.893392,1.861125,1.116675,0.930563,3.660213,1.24075,1.116675,0.806488,0.806488,0.9926,0.868525,0.806488,0.9926,0.806488,0.868525,0.806488,0.806488,0.837165,0.92463
813,0.2480000000000011,1.605607,0.993352,1.212015,1.34946,1.34946,0.830917,1.168282,0.843412,2.092912,5.64774,5.935125,0.780937,0.92463,0.862155,1.012095,0.868525,1.054638,0.868525,1.054638,0.74445,0.806488,0.868525,0.930563,0.9926,0.868525,0.806488,1.24075,0.74445,0.9926,0.806488,0.930563,0.868525,1.116675,0.9926,1.178713,0.587265,0.243652,0.34986,0.682413,0.74445,1.930477,0.281137,0.74445,0.868525,0.682413,0.74445,0.620375,0.806488,0.868525,0.868525,0.806488,0.930563,0.620375,0.806488,0.868525,1.054638,0.868525,1.116675,0.806488,0.806488,0.818422,0.905887,1.861125,1.054638,0.9926,3.660213,1.178713,1.178713,0.806488,0.868525,0.9926,0.930563,0.74445,0.9926,0.806488,0.9926,0.806488,0.806488,0.780937,0.987105
814,0.2520000000000011,1.655587,1.037085,1.268242,1.29948,1.29948,0.830917,1.168282,0.830917,2.092912,5.64774,5.94762,0.812175,0.968362,0.862155,1.018342,0.868525,1.054638,0.868525,1.116675,0.74445,0.806488,0.930563,0.930563,0.9926,0.868525,0.806488,1.24075,0.806488,0.9926,0.74445,0.930563,0.868525,1.116675,0.930563,1.178713,0.587265,0.243652,0.34986,0.682413,0.868525,1.911735,0.281137,0.74445,0.868525,0.620375,0.620375,0.620375,0.806488,0.868525,0.868525,0.806488,0.868525,0.620375,0.806488,0.868525,1.054638,0.868525,1.178713,0.806488,0.806488,0.737205,0.87465,1.799088,1.054638,0.868525,3.72225,1.24075,1.116675,0.806488,0.868525,0.930563,0.868525,0.806488,0.9926,0.806488,0.9926,0.806488,0.868525,0.84966,0.92463
815,0.2560000000000011,1.611855,0.9996,1.212015,1.343212,1.343212,0.830917,1.162035,0.837165,2.086665,5.653987,5.935125,0.855907,0.937125,0.868402,1.012095,0.868525,1.054638,0.868525,1.116675,0.806488,0.806488,0.868525,0.930563,0.9926,0.868525,0.806488,1.178713,0.806488,0.9926,0.74445,0.930563,0.868525,1.116675,0.9926,1.178713,0.587265,0.243652,0.34986,0.682413,0.806488,1.930477,0.287385,0.806488,0.868525,0.620375,0.74445,0.682413,0.806488,0.868525,0.806488,0.74445,0.9926,0.620375,0.806488,0.868525,1.054638,0.868525,1.178713,0.806488,0.74445,0.812175,0.92463,1.861125,1.116675,0.930563,3.660213,1.24075,1.116675,0.806488,0.806488,0.9926,0.868525,0.806488,0.930563,0.868525,0.930563,0.868525,0.806488,0.787185,0.968362
816,0.2600000000000011,1.655587,1.043332,1.255747,1.29948,1.29948,0.830917,1.168282,0.837165,2.080417,5.635245,5.935125,0.830917,0.955867,0.87465,1.018342,0.868525,1.054638,0.868525,1.116675,0.806488,0.806488,0.868525,0.930563,0.930563,0.868525,0.868525,1.178713,0.806488,0.9926,0.806488,0.868525,0.868525,0.9926,0.930563,1.178713,0.593512,0.237405,0.343612,0.682413,0.868525,1.905487,0.27489,0.806488,0.868525,0.620375,0.74445,0.558338,0.806488,0.930563,0.868525,0.806488,0.9926,0.620375,0.806488,0.868525,1.054638,0.868525,1.178713,0.806488,0.806488,0.743452,0.868402,1.861125,1.116675,0.930563,3.660213,1.24075,1.116675,0.806488,0.806488,0.930563,0.868525,0.806488,1.054638,0.868525,0.930563,0.806488,0.806488,0.830917,0.905887
817,0.2640000000000011,1.611855,0.987105,1.205767,1.343212,1.343212,0.830917,1.168282,0.837165,2.080417,5.64774,5.928877,0.787185,0.92463,0.87465,1.012095,0.868525,0.9926,0.868525,1.054638,0.74445,0.74445,0.930563,0.930563,0.930563,0.868525,0.806488,1.178713,0.806488,0.930563,0.74445,0.930563,0.868525,1.116675,0.9926,1.178713,0.587265,0.2499,0.343612,0.682413,0.868525,1.92423,0.281137,0.74445,0.868525,0.682413,0.74445,0.620375,0.806488,0.930563,0.868525,0.806488,0.930563,0.620375,0.806488,0.868525,1.054638,0.868525,1.24075,0.806488,0.74445,0.818422,0.918382,1.799088,1.116675,0.930563,3.660213,1.24075,1.178713,0.868525,0.806488,0.930563,0.868525,0.806488,0.930563,0.868525,0.930563,0.806488,0.806488,0.82467,0.993352
