,voltage,Cu_500_ppb_0,Cu_500_ppb_1,Cu_500_ppb_2,Cu_500_ppb_3,Cu_500_ppb_4,Cu_500_ppb_5,Cu_500_ppb_6,Cu_500_ppb_7,Cu_1000_ppb_8,Cu_1000_ppb_9,Cu_1000_ppb_10,Cu_1000_ppb_11,Cu_1000_ppb_12,Cu_1000_ppb_13,Cu_1000_ppb_14,Cu_2000_ppb_15,Cu_2000_ppb_16,Cu_2000_ppb_17,Cu_2000_ppb_18,Cu_2000_ppb_19,Cu_2000_ppb_20,Cu_3000_ppb_21,Cu_3000_ppb_22
29,0.8839999999999999,-3.350025,-4.094475,-0.4963,-0.620375,-0.434263,-0.4963,-0.372225,-0.4963,-2.853725,-2.72965,-0.682413,-0.558338,-0.682413,-0.558338,-1.054638,-1.054638,-1.675013,-2.171313,-2.419463,-0.868525,-0.868525,-0.682413,-1.302788
30,0.8799999999999999,-3.287988,-4.094475,-0.4963,-0.620375,-0.372225,-0.4963,-0.310188,-0.4963,-2.853725,-2.72965,-0.682413,-0.558338,-0.682413,-0.558338,-1.054638,-1.054638,-1.73705,-2.23335,-2.357425,-0.806488,-0.930563,-0.682413,-1.302788
31,0.8759999999999999,-3.287988,-4.094475,-0.4963,-0.620375,-0.434263,-0.4963,-0.372225,-0.4963,-2.853725,-2.72965,-0.74445,-0.558338,-0.620375,-0.558338,-1.054638,-1.054638,-1.675013,-2.23335,-2.419463,-0.868525,-0.930563,-0.620375,-1.302788
32,0.8719999999999999,-3.350025,-4.156513,-0.434263,-0.558338,-0.434263,-0.4963,-0.372225,-0.4963,-2.853725,-2.72965,-0.620375,-0.620375,-0.74445,-0.620375,-1.054638,-1.054638,-1.675013,-2.171313,-2.357425,-0.806488,-0.930563,-0.74445,-1.302788
33,0.8679999999999999,-3.350025,-4.094475,-0.4963,-0.682413,-0.372225,-0.4963,-0.372225,-0.4963,-2.853725,-2.72965,-0.682413,-0.558338,-0.682413,-0.558338,-1.116675,-1.116675,-1.675013,-2.23335,-2.357425,-0.806488,-0.9926,-0.682413,-1.302788
34,0.8639999999999999,-3.350025,-4.156513,-0.4963,-0.620375,-0.434263,-0.4963,-0.372225,-0.4963,-2.915763,-2.72965,-0.74445,-0.558338,-0.682413,-0.558338,-1.054638,-1.116675,-1.73705,-2.23335,-2.419463,-0.806488,-0.930563,-0.682413,-1.364825
35,0.8599999999999999,-3.350025,-4.156513,-0.4963,-0.558338,-0.434263,-0.4963,-0.434263,-0.4963,-2.915763,-2.791688,-0.682413,-0.620375,-0.74445,-0.558338,-0.9926,-1.116675,-1.73705,-2.23335,-2.419463,-0.806488,-0.930563,-0.74445,-1.364825
36,0.8559999999999999,-3.350025,-4.156513,-0.4963,-0.620375,-0.434263,-0.4963,-0.434263,-0.4963,-2.853725,-2.72965,-0.74445,-0.620375,-0.682413,-0.558338,-1.054638,-1.054638,-1.73705,-2.23335,-2.419463,-0.806488,-0.930563,-0.682413,-1.364825
37,0.8519999999999999,-3.350025,-4.156513,-0.558338,-0.620375,-0.434263,-0.4963,-0.434263,-0.4963,-2.915763,-2.72965,-0.682413,-0.558338,-0.682413,-0.558338,-1.054638,-1.054638,-1.73705,-2.23335,-2.4815,-0.806488,-0.930563,-0.682413,-1.302788
38,0.8479999999999999,-3.350025,-4.156513,-0.4963,-0.682413,-0.372225,-0.558338,-0.434263,-0.4963,-2.915763,-2.791688,-0.682413,-0.558338,-0.682413,-0.682413,-1.054638,-1.178713,-1.799088,-2.23335,-2.419463,-0.868525,-0.930563,-0.682413,-1.364825
39,0.8439999999999999,-3.350025,-4.156513,-0.4963,-0.620375,-0.372225,-0.4963,-0.434263,-0.4963,-2.915763,-2.791688,-0.682413,-0.558338,-0.682413,-0.620375,-1.054638,-1.116675,-1.73705,-2.171313,-2.419463,-0.806488,-0.9926,-0.682413,-1.364825
40,0.8399999999999999,-3.350025,-4.21855,-0.4963,-0.682413,-0.4963,-0.4963,-0.434263,-0.558338,-2.853725,-2.72965,-0.74445,-0.558338,-0.682413,-0.620375,-1.054638,-1.116675,-1.73705,-2.171313,-2.419463,-0.868525,-0.9926,-0.682413,-1.364825
41,0.8359999999999999,-3.350025,-4.156513,-0.558338,-0.620375,-0.434263,-0.558338,-0.372225,-0.558338,-2.9778,-2.791688,-0.74445,-0.620375,-0.682413,-0.620375,-1.116675,-1.116675,-1.73705,-2.295388,-2.419463,-0.868525,-0.9926,-0.682413,-1.364825
42,0.8319999999999999,-3.287988,-4.156513,-0.4963,-0.620375,-0.434263,-0.4963,-0.372225,-0.4963,-2.915763,-2.853725,-0.682413,-0.620375,-0.682413,-0.620375,-1.116675,-1.116675,-1.73705,-2.23335,-2.419463,-0.868525,-0.9926,-0.682413,-1.426863
43,0.8279999999999998,-3.350025,-4.21855,-0.4963,-0.620375,-0.434263,-0.558338,-0.434263,-0.558338,-2.915763,-2.791688,-0.682413,-0.620375,-0.74445,-0.620375,-1.116675,-1.116675,-1.73705,-2.171313,-2.419463,-0.868525,-0.9926,-0.74445,-1.364825
44,0.8239999999999998,-3.350025,-4.156513,-0.558338,-0.620375,-0.372225,-0.4963,-0.434263,-0.558338,-2.915763,-2.791688,-0.74445,-0.620375,-0.74445,-0.620375,-1.116675,-1.116675,-1.73705,-2.23335,-2.419463,-0.868525,-0.9926,-0.74445,-1.426863
45,0.8199999999999998,-3.350025,-4.156513,-0.558338,-0.682413,-0.434263,-0.558338,-0.372225,-0.4963,-2.915763,-2.72965,-0.74445,-0.620375,-0.74445,-0.682413,-1.116675,-1.116675,-1.73705,-2.295388,-2.4815,-0.868525,-0.930563,-0.74445,-1.364825
46,0.8159999999999998,-3.350025,-4.21855,-0.558338,-0.682413,-0.434263,-0.558338,-0.434263,-0.558338,-2.915763,-2.791688,-0.74445,-0.620375,-0.682413,-0.620375,-1.054638,-1.116675,-1.73705,-2.295388,-2.4815,-0.868525,-0.9926,-0.682413,-1.364825
47,0.8119999999999998,-3.350025,-4.094475,-0.558338,-0.620375,-0.434263,-0.558338,-0.372225,-0.4963,-2.915763,-2.72965,-0.682413,-0.620375,-0.682413,-0.682413,-1.054638,-1.116675,-1.73705,-2.171313,-2.4815,-0.868525,-0.9926,-0.682413,-1.426863
48,0.8079999999999998,-3.350025,-4.21855,-0.558338,-0.682413,-0.434263,-0.558338,-0.434263,-0.558338,-2.915763,-2.72965,-0.74445,-0.620375,-0.74445,-0.682413,-1.054638,-1.178713,-1.73705,-2.23335,-2.4815,-0.868525,-1.054638,-0.74445,-1.4889
49,0.8039999999999998,-3.350025,-4.21855,-0.558338,-0.682413,-0.4963,-0.558338,-0.434263,-0.558338,-2.915763,-2.791688,-0.74445,-0.620375,-0.74445,-0.620375,-1.054638,-1.116675,-1.73705,-2.23335,-2.419463,-0.868525,-1.054638,-0.74445,-1.364825
50,0.7999999999999998,-3.412063,-4.156513,-0.558338,-0.682413,-0.434263,-0.558338,-0.434263,-0.558338,-2.915763,-2.853725,-0.74445,-0.682413,-0.74445,-0.620375,-1.054638,-1.116675,-1.799088,-2.295388,-2.4815,-0.868525,-1.054638,-0.74445,-1.4889
51,0.7959999999999998,-3.412063,-4.21855,-0.558338,-0.620375,-0.434263,-0.558338,-0.434263,-0.558338,-2.915763,-2.72965,-0.74445,-0.620375,-0.74445,-0.682413,-1.178713,-1.178713,-1.73705,-2.23335,-2.4815,-0.930563,-1.054638,-0.74445,-1.426863
52,0.7919999999999998,-3.350025,-4.21855,-0.558338,-0.682413,-0.434263,-0.558338,-0.434263,-0.558338,-2.915763,-2.791688,-0.74445,-0.620375,-0.74445,-0.682413,-1.116675,-1.116675,-1.799088,-2.295388,-2.4815,-0.930563,-1.054638,-0.74445,-1.426863
